Task: 1, Test Name: should show main menu, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show search bar, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show all access, wishlist and cart options, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show filters, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show sort and view switcher options, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: failed
Task: 1, Test Name: should hide product options, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show footer collapsibles expanded, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should hide main menu, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show search bar, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show only access and cart tools, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: failed
Task: 1, Test Name: should hide filters, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show sort and filter options, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: failed
Task: 1, Test Name: should show product options, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: failed
Task: 1, Test Name: should show footer collapsibles expanded, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should hide main menu, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: passed
Task: 1, Test Name: should show mobile search bar, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: failed
Task: 1, Test Name: should show only access and cart tools without cart item count, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: failed
Task: 1, Test Name: should hide filters, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: passed
Task: 1, Test Name: should show sort and filter options without filter label, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: failed
Task: 1, Test Name: should show product options, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: failed
Task: 1, Test Name: should show footer collapsed, Browser: chrome, Viewport: 375 x 812, Device: iphone-x, Status: failed
Task: 1, Test Name: should always show logo, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show banner, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air x Night product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air x Night promo details, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG promo details, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli ACG React Terra product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli ACG React Terra, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Zoom Alpha product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Zoom Alpha, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Alpha product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Alpha, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air 98 product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 98, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air 720 product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 720, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Okwahn II product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Okwahn II promo details, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli 720 product and price, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli 720, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show footer bottom row, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show logo, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should always show banner, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air x Night product and price, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air x Night promo details, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG product and price, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG promo details, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli ACG React Terra product and price, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli ACG React Terra, Browser: chrome, Viewport: 768 x 700, Device: tablet, Status: passed
